CODGEO;POP18;Lits marchands 2018 (hors PtoP);Lits touristiques 2021 inc. PtoP;P18_RSECOCC;Lits marchands 2015 (hors PtoP);P15_RSECOCC;LIBGEO
17101;334;0;217.1814159292035;36.8362831858407;0;36.0236532677058;Cherbonnières
17102;1290;0;166.52246256239602;17.3044925124792;0;21.0;Chermignac
17104;1181;60;186.0;17.0;60;19.1333333333333;Chevanceaux
17105;324;0;299.3144347354875;59.8628869470975;0;56.0;Chives
17106;315;0;14.07042253521125;2.01408450704225;14;1.97814207650273;Cierzac
17107;1403;0;181.92675159235648;22.3853503184713;0;22.6432748538012;Ciré-d'Aunis
17108;428;16;256.279709537774;31.4559419075548;20;34.1566820276498;Clam
17109;1443;0;213.716216216216;20.7432432432432;0;18.3459595959596;Clavette
17110;986;16;220.0;23.0;14;28.8953068592057;Clérac
17111;832;60;237.8595041322315;30.3719008264463;0;29.3304417950786;Clion
17112;717;0;80.65625;7.13125;0;7.62061598718177;La Clisse
17113;720;0;159.985347985348;29.5970695970696;0;31.4258241758242;La Clotte
17114;214;0;186.445945945946;34.6891891891892;0;31.6940836940837;Coivert
17115;318;0;66.11299435028249;12.0225988700565;0;17.1920903954802;Colombiers
17116;223;0;105.4545454545455;21.0909090909091;0;19.0;Consac
17117;143;0;62.222222222222;12.4444444444444;0;12.0;Contré
17118;362;0;22.12738853503185;4.02547770700637;0;3.58181818181819;Corignac
17119;1141;0;523.0409165302785;89.0081833060557;0;83.7462182311353;Corme-Écluse
17120;1892;14;362.011135857461;60.0022271714922;14;56.7084210859185;Corme-Royal
17121;1191;3184;13799.19307435365;1799.83861487073;3206;1728.0;La Couarde-sur-Mer
17122;239;0;26.0;4.0;0;5.0;Coulonges
17124;426;0;156.0;28.0;0;33.3013698630137;Courant
17125;477;0;87.0;17.0;0;17.2893617021277;Courcelles
17126;303;0;60.0;12.0;0;11.3759689922481;Courcerac
17127;1779;162;615.0235063663075;83.2047012732615;180;78.3456957964;Courçon
17128;704;0;170.317260325881;29.2634520651762;0;31.3406593406593;Courcoury
17129;421;0;60.62385321100916;9.72477064220183;0;14.3211009174312;Courpignac
17130;478;0;79.222222222222;12.4444444444444;0;11.0;Coux
17131;2190;360;1010.0;114.0;450;101.017828200972;Cozes
17132;671;0;94.3030303030305;13.6606060606061;0;17.0;Cramchaban
17133;955;0;426.5539568345325;64.5107913669065;0;62.938679245283;Cravans
17134;442;159;489.7985074626865;58.5597014925373;108;57.4547840235133;Crazannes
17135;237;0;125.5072463768115;22.1014492753623;0;17.0;Cressé
17136;1294;0;199.058319039451;16.4116638078902;0;13.9004157793327;Croix-Chapeau
17137;226;0;62.873015873016;11.1746031746032;0;10.8921568627451;La Croix-Comtesse
17138;287;51;376.857142857143;56.5714285714286;51;54.986301369863;Dampierre-sur-Boutonne
17139;344;0;265.2875536480685;30.2575107296137;0;31.1738437001595;Dœuil-sur-le-Mignon
17140;3250;3450;20416.40872934935;2975.68174586987;3381;2838.7638687892;Dolus-d'Oléron
17141;473;300;488.08204992034;30.216409984068;300;26.0;Dompierre-sur-Charente
17142;5701;0;861.73434124753;62.546868249506;0;56.638956805216;Dompierre-sur-Mer
17143;721;0;188.381679389313;30.0763358778626;0;33.0972357723577;Le Douhet
17145;492;0;232.0;40.0;0;35.5512717536814;Échebrune
17146;3616;0;298.8768013918935;40.1753602783787;0;28.0;Échillais
17147;1378;0;105.0;20.0;0;21.6976744186047;Écoyeux
17148;475;0;36.62459546925565;5.72491909385113;0;6.0;Écurat
17149;61;0;61.0;11.0;0;7.0;Les Éduts
17150;524;0;127.0;22.0;0;20.2105263157895;Les Églises-d'Argenteuil
17151;901;0;535.1984732824426;88.8396946564885;0;84.8131483564554;L'Éguille
17152;862;0;673.227272727275;112.045454545455;0;95.7886526184419;Épargnes
17153;2104;195;429.9344850004645;23.7868970000929;195;25.0;Esnandes
17154;712;0;74.6006006006005;10.1201201201201;0;11.1651651651652;Les Essards
17155;2589;162;1449.102787456445;218.820557491289;162;213.197991391678;Étaules
17156;131;0;50.0;3.0;0;2.62461538461538;Expiremont
17157;164;0;98.116255144033;14.2232510288066;0;14.0;Fenioux
17158;975;0;159.0;22.0;0;11.6754385964912;Ferrières
17159;374;0;157.0;11.0;0;11.9633883704235;Fléac-sur-Seugne
17160;405;0;269.383290267011;51.0766580534022;0;51.2941176470588;Floirac
17161;2799;3234;15246.7972465582;1791.55944931164;3258;1756.27490409512;La Flotte
17162;200;0;244.0;45.0;0;41.7567567567568;Fontaine-Chalendray
17163;527;0;92.2209152390725;12.0441830478145;0;14.0;Fontaines-d'Ozillac
17164;2376;0;269.0;40.0;0;49.4064516129032;Fontcouverte
17165;403;0;94.0;18.0;0;24.0;Fontenet
17166;1329;0;193.0;18.0;0;16.5198555956678;Forges
17167;784;177;277.6931202600215;14.7386240520043;180;30.0;Le Fouilloux
17168;4044;3352;15895.02151019495;2265.60430203899;3033;2236.47189437745;Fouras
17171;772;0;300.8076923076925;47.3615384615385;0;44.6528822463178;Geay
17172;2878;78;948.56212303981;137.312424607962;78;152.503309091606;Gémozac
17173;238;0;88.0683229813665;14.8136645962733;0;15.80743618202;La Genétouze
17174;913;240;492.431980906921;30.2863961813842;0;29.7627237627238;Genouillé
17175;647;0;94.0;18.0;0;7.29787234042553;Germignac
17176;113;0;194.5656565656565;16.3131313131313;0;16.0;Gibourne
17177;118;0;122.0;17.0;0;16.3764705882353;Le Gicq
17178;70;0;25.86466165413535;5.17293233082707;0;2.10526315789474;Givrezac
17179;1840;0;147.0;26.0;0;29.1623931623932;Les Gonds
17180;92;0;175.7241379310345;30.3448275862069;0;23.9855875831486;Gourvillette
17181;310;0;111.0;18.0;0;17.963772491245;Grandjean
17182;571;258;424.8333333333335;23.1666666666667;156;28.4603773584906;La Grève-sur-Mignon
17183;944;97;469.0977819431425;67.4195563886285;97;78.0;Grézac
17184;601;0;176.2166257938755;28.0433251587751;0;29.0;La Gripperie-Saint-Symphorien
17185;2131;20;738.04084158416;122.808168316832;20;138.141666666667;Le Gua
17186;956;0;105.68799745304044;9.93759949060809;0;13.5587392550143;Le Gué-d'Alleré
17187;547;0;177.0;32.4;0;34.0;Guitinières
17188;466;0;181.64233576642349;30.3284671532847;0;28.8431590656285;Haimps
17190;2905;396;1577.702898550725;146.740579710145;396;106.768563772776;L'Houmeau
17191;433;0;42.02003454231435;6.80400690846287;0;5.0;La Jard
17192;828;50;190.3512228685805;30.0702445737161;47;21.0;Jarnac-Champagne
17193;2570;0;470.563633967403;68.1127267934806;0;41.0;La Jarne
17194;3375;0;388.442145846309;33.2884291692618;0;62.0;La Jarrie
17195;274;0;153.97278911564598;29.1945578231292;0;35.0;La Jarrie-Audouin
17196;548;0;86.9540229885055;17.3908045977011;0;17.1856311868558;Jazennes
17197;3679;749;5388.15309446254;696.630618892508;743;636.177184848772;Jonzac
17198;295;0;72.82191780821901;12.1643835616438;0;12.6262857142857;Juicq
17199;157;0;15.461538461538453;3.09230769230769;0;2.93157894736842;Jussas
17200;7285;502;2465.8964464186547;262.779289283731;550;216.049157382544;Lagord
17201;482;0;120.5;11.1;0;13.231884057971;La Laigne
17202;612;0;168.5202497330155;31.9040499466031;0;36.0;Landes
17203;742;111;147.85470085470098;20.1709401709402;111;19.9288065843621;Landrais
17204;318;0;97.777777777778;11.5555555555556;0;11.0;Léoville
17205;405;0;21.1948051948052;1.03896103896104;0;0.915217391304348;Loire-les-Marais
17206;287;0;180.6451612903225;36.1290322580645;0;30.0;Loiré-sur-Nie
17207;748;644;5024.40909090909;681.081818181818;716;689.85662205014;Loix
17208;1017;0;93.417302798982;10.4834605597964;0;10.2504816955684;Longèves
17209;274;0;30.0;6.0;0;7.03703703703704;Lonzac
17210;502;16;490.9828936673315;69.5965787334663;20;75.7809798270893;Lorignac
17211;768;0;91.648854961832;17.1297709923664;0;17.4909581646424;Loulay
17212;165;0;152.4184725265805;21.8836945053161;0;26.0;Louzignac
17213;138;0;145.938053097345;23.787610619469;0;20.0212765957447;Lozay
17214;546;0;95.0091324200913;8.40182648401826;0;8.38150067165611;Luchat
17215;48;0;26.0;4.0;0;1.0;Lussac
17216;1023;0;112.0;22.0;0;11.171875;Lussant
17217;297;0;64.2131147540985;12.8426229508197;0;14.0;Macqueville
